Engineering Physics
MA243 MA241
MA345 MA243
MA441 MA243
MA442 MA441
CHM110 
CHM110L
PS228 PS227 PS160|MA243
PS228L MA243
PS290 COM219
PS303 PS228 PS250
PS305 PS228L
PS320 MA345|PS228 PS250
EGR120
EP101 
EP200
EP320 EGR115 CS223|PS303
EP340 CS223 EGR115
EP391 PS228 PS250|PS228L|EGR115 CS223
EP391L 
EP394 AE313 EP393
EP410 PS320
EP440 PS303|PS305|PS320|EGR115 CS223
EP455 EP440
EP448 EP440
EP496 EP340|EP394
EP497 EP496
EE327 COM221|PS250|PS253
ES201 PS150 PS226|EGR120 EGR100 EGR111
ES202 ES201
ES204 EGR115|ES201
ES309 ES204|MA345
CEC220 
CEC222 
CEC315 EGR115 CS223
CEC320 CEC220
CEC322 CEC222
CEC410 CEC315
CEC411 CEC315
EP430 CEC320|CEC315
