Interdisciplinary Studies (Major)
AS120
SP110
SS130
BA201
BA335
BA427
GCS300
GCS302
GCS306
GCS326
GCS322
GCS333
GCS334
GCS336
GCS337
GCS363
HU300
HU323
HU341
HU345
HU363
SS325
HU330
COM319
COM320
COM322
COM325
COM326
COM350
COM360
COM362
COM412
COM415
COM460
COM399
COM475
COM499
HU305
HU310
HU321
HU325
HU332
HU335
HU338
HU355
HU399
HU415
HU499
COM270
PSY323
PSY323L
MK355
CE396
CE397
HU475
